	chr	cM
0	1	-5.511246816
1	1	-5.301980557
2	1	-5.2997189989999995
3	1	-5.256896214
4	1	-5.2256413760000004
5	1	-5.078748275
6	1	-5.057971819
7	1	-4.937511645
8	1	-4.897493913
9	1	-4.664195379
10	1	-4.579350884
11	1	-4.558723823999999
12	1	-4.2175479319999996
13	1	-4.161763687
14	1	-4.1599786530000005
15	1	-3.9498237410000003
16	1	-3.792475441
17	1	-3.385915273
18	1	-3.359242795
19	1	-3.356172434
20	1	-3.341472305
21	1	-3.341145178
22	1	-3.340715018
23	1	-3.3354577969999997
24	1	-3.331318475
25	1	-2.810057637
26	1	-2.786785224
27	1	-2.309114762
28	1	-1.879238392
29	1	-1.8767141019999998
30	1	-1.8744808780000002
31	1	-1.6241768669999999
32	1	-1.571470712
33	1	-1.396447227
34	1	-1.377504745
35	1	-1.30752523
36	1	-0.846005075
37	1	-0.8420254540000001
38	1	-0.66443389
39	1	-0.661621109
40	1	-0.652721697
41	1	-0.6503545310000001
42	1	-0.65028756
43	1	-0.6495380000000001
44	1	-0.648301613
45	1	-0.6468900710000001
46	1	-0.537544503
47	1	-0.527983109
48	1	-0.222080312
49	1	0.012830677
50	1	0.025235762000000002
51	1	0.10204374
52	1	0.33987054299999997
53	1	0.35565251
54	1	0.62316806
55	1	1.00690143
56	1	1.022472181
57	1	1.131560168
58	1	1.14171915
59	1	1.1432337240000001
60	1	1.1436123679999999
61	1	1.148498673
62	1	1.14874595
63	1	1.176121623
64	1	1.17861758
65	1	1.181324753
66	1	1.255152522
67	1	1.2557320790000002
68	1	1.257815906
69	1	1.281657573
70	1	1.285910229
71	1	1.299500185
72	1	1.478907693
73	1	1.660084781
74	1	1.660672065
75	1	1.661127983
76	1	1.849774909
77	1	1.882044615
78	1	1.9029344069999998
79	1	1.9071844869999999
80	1	1.912160946
81	1	1.916163749
82	1	2.012777105
83	1	2.014433349
84	1	2.148833787
85	1	2.161447512
86	1	2.279635824
87	1	2.290091023
88	1	2.290716944
89	1	2.290995132
90	1	2.29118059
91	1	2.291273319
92	1	2.303776284
93	1	2.311259002
94	1	2.3112615780000003
95	1	2.3161453080000003
96	1	2.508720339
97	1	2.52930361
98	1	2.53586419
99	1	2.5402507880000003
100	1	2.5451937609999997
101	1	2.7256856839999997
102	1	2.730262892
103	1	2.739927319
104	1	2.743863152
105	1	2.7456816710000003
106	1	2.7517528469999997
107	1	2.751853304
108	1	2.752870747
109	1	2.75973012
110	1	2.7612163610000002
111	1	2.8581156310000004
112	1	2.858427303
113	1	2.8620308569999997
114	1	2.862239497
115	1	3.525885774
116	1	3.6354683160000003
117	1	3.636508942
118	1	3.638232157
119	1	3.639798247
120	1	3.6399708260000003
121	1	3.6400377969999997
122	1	3.642016017
123	1	3.7
124	1	3.950705836
125	1	4.085204155
126	1	4.103023586
127	1	4.112850288
128	1	4.4454848060000005
129	1	4.451259764
130	1	4.492209938
131	1	4.503126207
132	1	4.77555382
133	1	4.8851054519999995
134	1	4.934797914
135	1	5.009259332
136	1	5.009308273
137	1	5.178059669
138	1	5.182479753
139	1	5.30935626
140	1	5.551015864
141	1	5.552226492999999
142	1	5.553916222000001
143	1	5.941587999999999
144	1	5.942888782000001
145	1	5.953439286
146	1	5.9566461660000005
147	1	5.957205116
148	1	5.959464098
149	1	6.230583202
150	1	6.232200807999999
151	1	6.341190913999999
152	1	6.341288795
153	1	6.357315464
154	1	6.360128245
155	1	6.361117355
156	1	6.3611611429999995
157	1	6.946448807
158	1	6.948844307000001
159	1	6.970197744
160	1	7.202295952999999
161	1	7.60021429
162	1	7.805212437000001
163	1	7.805709567999999
164	1	7.806585342000001
165	1	7.8069073179999995
166	1	7.833793587000001
167	1	7.860126059
168	1	7.9661411079999995
169	1	8.093486412999999
170	1	8.355165185
171	1	8.356308842999999
172	1	8.6457986
173	1	8.839473501
174	1	8.848733526
175	1	8.869991658
176	1	8.8701256
177	1	8.87017454
178	1	8.89069084
179	1	8.894647278999999
180	1	9.047614132
181	1	10.03671873
182	1	10.04247308
183	1	10.04434569
184	1	10.04506692
185	1	10.05016959
186	1	10.05055854
187	1	10.05057399
188	1	10.0511381
189	1	10.0565885
190	1	10.05715003
191	1	10.09942417
192	1	10.1066493
193	1	10.1076075
194	1	10.14237832
195	1	10.14778494
196	1	10.162533999999999
197	1	10.17327512
198	1	10.63132309
199	1	10.65087346
200	1	10.91911281
201	1	10.94817306
202	1	10.94833276
203	1	10.94987824
204	1	11.54096662
205	1	11.55322746
206	1	11.69523684
207	1	11.69931949
208	1	11.70756207
209	1	11.71098789
210	1	11.71320309
211	1	11.71367704
212	1	11.72928127
213	1	11.91374766
214	1	11.91488102
215	1	11.91743622
216	1	11.91824502
217	1	11.91854897
218	1	12.23389982
219	1	12.23391785
220	1	12.233977099999999
221	1	12.31922342
222	1	12.32118618
223	1	12.33847757
224	1	12.33898501
225	1	12.61195612
226	1	12.99879076
227	1	13.00977915
228	1	13.00983324
229	1	13.01119842
230	1	13.01136842
231	1	13.29140239
232	1	13.37379214
233	1	13.37401624
234	1	13.56256013
235	1	13.57150333
236	1	13.88801072
237	1	13.91664339
238	1	13.95774811
239	1	14.33237601
240	1	14.33255889
241	1	14.33464014
242	1	14.34052586
243	1	14.34645537
244	1	14.34930163
245	1	14.35047878
246	1	14.603453899999998
247	1	14.60346162
248	1	14.68618108
249	1	14.77347517
250	1	14.94934609
251	1	15.04097269
252	1	15.04125087
253	1	15.04128951
254	1	15.04191028
255	1	15.04194892
256	1	15.595932800000002
257	1	15.59604356
258	1	15.59963424
259	1	15.6
260	1	15.60684594
261	1	15.85016094
262	1	15.87319426
263	1	16.01812176
264	1	16.02176984
265	1	16.1278574
266	1	16.27919863
267	1	16.28041037
268	1	16.28136999
269	1	16.28250969
270	1	16.29299084
271	1	16.2940122
272	1	16.29446757
273	1	16.29462965
274	1	16.29496924
275	1	16.31504654
276	1	16.31684999
277	1	16.32135478
278	1	16.32226809
279	1	16.32406125
280	1	16.64816653
281	1	17.12034314
282	1	17.12611112
283	1	17.19804104
284	1	17.21138302
285	1	17.39958837
286	1	17.39985078
287	1	17.4
288	1	17.41160124
289	1	17.89970783
290	1	17.9
291	1	17.90204827
292	1	17.90210799
293	1	18.02069098
294	1	18.02111125
295	1	18.02126387
296	1	18.02135899
297	1	18.1036681
298	1	18.106220699999998
299	1	18.18646605
300	1	18.18743046
301	1	18.18772244
302	1	18.18784189
303	1	18.18811396
304	1	18.18892796
305	1	18.18933053
306	1	18.18991891
307	1	18.19003836
308	1	18.39089506
309	1	18.39097469
310	1	18.47043702
311	1	18.47047019
312	1	18.48339908
313	1	18.51405458
314	1	18.517998499999997
315	1	19.26766813
316	1	19.34289898
317	1	19.41624303
318	1	19.42147431
319	1	19.42152961
320	1	19.63513382
321	1	19.63559611
322	1	19.63658265
323	1	19.64487748
324	1	19.64547471
325	1	19.64874398
326	1	19.65160404
