,0
0,0.0020926625899999962
1,2.2615580000007186e-05
2,0.0004282278499999936
3,0.0003125483799999973
4,0.0014689310100000075
5,0.0002077645600000011
6,0.0012046017399999975
7,0.0004001773199999992
8,0.002332985340000002
9,0.0008484449499999957
10,0.00020627060000000697
11,0.003411758919999999
12,0.000557842449999999
13,1.785033999999186e-05
14,0.0021015491200000016
15,0.0015734830000000023
16,0.004065601679999999
17,0.00026672478000000055
18,3.0703610000002435e-05
19,0.0001470012899999995
20,3.271269999998161e-06
21,4.301600000000682e-06
22,5.257221000000367e-05
23,4.13932199999989e-05
24,0.005212608379999999
25,0.00023272412999999936
26,0.004776704619999999
27,0.004298763700000001
28,2.5242900000002065e-05
29,2.2332239999995896e-05
30,0.0025030401100000032
31,0.0005270615499999987
32,0.001750234850000001
33,0.00018942481999999927
34,0.00069979515
35,0.00461520155
36,3.9796209999999333e-05
37,0.001775915640000001
38,2.8127809999999308e-05
39,8.899411999999995e-05
40,2.3671659999999762e-05
41,6.697100000008227e-07
42,7.49559999999927e-06
43,1.236387000000061e-05
44,1.4115419999999324e-05
45,0.0010934556800000007
46,9.561394e-05
47,0.00305902797
48,0.00234910989
49,0.00012405085000000003
50,0.00076807978
51,0.0023782680299999997
52,0.00015781967000000008
53,0.0026751555000000004
54,0.0038373337000000007
55,0.00015570750999999828
56,0.0010908798700000012
57,0.00010158981999999872
58,1.5145740000002129e-05
59,3.786439999997615e-06
60,4.886305000000091e-05
61,2.472769999999347e-06
62,0.000273756730000001
63,2.4959570000000486e-05
64,2.7071729999998962e-05
65,0.0007382776899999999
66,5.7955700000023036e-06
67,2.0838269999998714e-05
68,0.000238416669999999
69,4.2526560000000214e-05
70,0.00013589956000000124
71,0.0017940750799999995
72,0.0018117708799999987
73,5.872840000000768e-06
74,4.559180000001106e-06
75,0.0018864692599999987
76,0.0003226970600000012
77,0.0002088979199999974
78,4.250080000000045e-05
79,4.9764590000001e-05
80,4.0028030000001104e-05
81,0.0009661335599999998
82,1.6562439999998623e-05
83,0.0013440043800000013
84,0.0001261372500000002
85,0.0011818831200000003
86,0.00010455198999999916
87,6.259210000001403e-06
88,2.7818799999979047e-06
89,1.8545800000024925e-06
90,9.272899999990258e-07
91,0.00012502964999999922
92,7.482717999999888e-05
93,2.5760000004204642e-08
94,4.883729999999975e-05
95,0.001925750309999996
96,0.00020583271000000015
97,6.560579999999928e-05
98,4.386598000000408e-05
99,4.942972999999462e-05
100,0.0018049192299999994
101,4.577208000000166e-05
102,9.664427000000142e-05
103,3.935832999999889e-05
104,1.818519000000407e-05
105,6.071175999999401e-05
106,1.004570000002758e-06
107,1.0174429999998402e-05
108,6.859373000000169e-05
109,1.4862410000002767e-05
110,0.0009689927000000021
111,3.116719999995965e-06
112,3.6035539999996754e-05
113,2.0864000000031523e-06
114,0.006636462769999998
115,0.001095825420000005
116,1.040625999999545e-05
117,1.7232150000001668e-05
118,1.5660899999998534e-05
119,1.7257900000045011e-06
120,6.697099999941614e-07
121,1.9782200000002526e-05
122,0.0005798398300000018
123,0.0025070583599999985
124,0.0013449831899999952
125,0.00017819431000000387
126,9.826701999999798e-05
127,0.0033263451800000076
128,5.774957999999053e-05
129,0.00040950174000000674
130,0.00010916268999999979
131,0.0027242761299999963
132,0.0010955163199999963
133,0.0004969246200000033
134,0.0007446141800000027
135,4.894100000019108e-07
136,0.0016875139599999934
137,4.4200840000003796e-05
138,0.001268765070000004
139,0.0024165960399999964
140,1.2106289999991305e-05
141,1.6897290000015275e-05
142,0.0038767177799999874
143,1.300782000001277e-05
144,0.0001055050399999935
145,3.206880000000467e-05
146,5.589499999993919e-06
147,2.258981999999854e-05
148,0.002711191040000003
149,1.61760599999905e-05
150,0.0010899010600000025
151,9.788100000029942e-07
152,0.00016026669000000383
153,2.812781000000264e-05
154,9.891099999999042e-06
155,4.378799999926741e-07
156,0.005852876640000009
157,2.3955000000004388e-05
158,0.00021353436999999254
159,0.0023209820899999923
160,0.0039791833700000105
161,0.002049981470000004
162,4.971309999985962e-06
163,8.757740000016057e-06
164,3.219759999986138e-06
165,0.00026886269000001126
166,0.00026332471999999105
167,0.001060150489999998
168,0.0012734530499999952
169,0.0026167877200000155
170,1.143657999998382e-05
171,0.002894897570000001
172,0.001936749010000014
173,9.260024999999673e-05
174,0.0002125813199999982
175,1.3394199999972045e-06
176,4.894000000099652e-07
177,0.00020516299999998822
178,3.956438999999534e-05
179,0.0015296685300000058
180,0.009891045980000008
181,5.75435000000013e-05
182,1.8726099999994972e-05
183,7.212299999999061e-06
184,5.102669999999421e-05
185,3.889500000013868e-06
186,1.5449999999361807e-07
187,5.641099999991183e-06
188,5.4504000000008543e-05
189,5.615300000005874e-06
190,0.0004227413999999996
191,7.225130000000135e-05
192,9.581999999994651e-06
193,0.0003477082000000031
194,5.406619999998696e-05
195,0.0001474905999999976
196,0.00010741120000000493
197,0.004580479700000009
198,0.00019550369999999262
199,0.0026823934999999997
200,0.00029060250000000564
201,1.5969999999931872e-06
202,1.545480000000765e-05
203,0.005910883800000004
204,0.00012260839999999717
205,0.001420093799999993
206,4.082650000000854e-05
207,8.242579999999222e-05
208,3.425820000000357e-05
209,2.215200000000195e-05
210,4.739499999999452e-06
211,0.0001560422999999922
212,0.0018446639000000075
213,1.133359999998973e-05
214,2.555200000001534e-05
215,8.08799999999721e-06
216,3.0394999999927565e-06
217,0.0031535084999999973
218,1.8029999999669143e-07
